RUN	com.testingexcellence.simulations.CreateSimulation	createsimulation	1559220230744	 	3.1.2
REQUEST	126		Conector XO HttpCode 200 Redirect 1	1559220233134	1559220233298	OK	 
REQUEST	37		Conector IMS HttpCode 200	1559220232559	1559220233298	OK	 
REQUEST	191		Conector XO HttpCode 200	1559220232714	1559220233298	OK	 
REQUEST	53		Conector IMS HttpCode 200	1559220232577	1559220233299	OK	 
REQUEST	77		Conector IMS HttpCode 200	1559220232588	1559220233300	OK	 
REQUEST	85		Conector IMS HttpCode 200	1559220232592	1559220233302	OK	 
REQUEST	93		Conector IMS HttpCode 200	1559220232596	1559220233303	OK	 
REQUEST	109		Conector XO HttpCode 200	1559220232606	1559220233304	OK	 
REQUEST	133		Conector XO HttpCode 200	1559220232631	1559220233306	OK	 
REQUEST	6		Conector IMS HttpCode 200 Redirect 1	1559220233058	1559220233308	KO	j.i.IOException: Premature close
REQUEST	141		Conector XO HttpCode 200	1559220232671	1559220233308	OK	 
REQUEST	23		Conector IMS HttpCode 200	1559220232556	1559220233308	OK	 
REQUEST	149		Conector XO HttpCode 200	1559220232678	1559220233309	OK	 
REQUEST	31		Conector IMS HttpCode 200	1559220232558	1559220233310	OK	 
REQUEST	157		Conector XO HttpCode 200	1559220232681	1559220233310	OK	 
USER	Cenários de Testes Funcionais Conector X0	177	END	1559220232694	1559220233309
REQUEST	165		Conector XO HttpCode 200	1559220232686	1559220233311	OK	 
REQUEST	173		Conector XO HttpCode 200	1559220232691	1559220233312	OK	 
REQUEST	181		Conector XO HttpCode 200	1559220232697	1559220233313	OK	 
REQUEST	24		Conector IMS HttpCode 422 Redirect 1	1559220233229	1559220233244	KO	status.find.is(422), but actually found 200
REQUEST	189		Conector XO HttpCode 200	1559220232712	1559220233315	OK	 
REQUEST	39		Conector IMS HttpCode 200	1559220232559	1559220233315	OK	 
REQUEST	16		Conector IMS HttpCode 200	1559220232550	1559220233316	OK	 
REQUEST	47		Conector IMS HttpCode 200	1559220232562	1559220233316	OK	 
REQUEST	197		Conector XO HttpCode 200	1559220232723	1559220233316	OK	 
REQUEST	32		Conector IMS HttpCode 422 Redirect 1	1559220233233	1559220233317	KO	status.find.is(422), but actually found 200
REQUEST	63		Conector IMS HttpCode 200	1559220232578	1559220233317	OK	 
REQUEST	71		Conector IMS HttpCode 200	1559220232583	1559220233319	OK	 
REQUEST	40		Conector IMS HttpCode 200	1559220232560	1559220233320	OK	 
REQUEST	79		Conector IMS HttpCode 200	1559220232589	1559220233321	OK	 
REQUEST	48		Conector IMS HttpCode 200	1559220232563	1559220233322	OK	 
REQUEST	87		Conector IMS HttpCode 200	1559220232593	1559220233322	OK	 
REQUEST	95		Conector IMS HttpCode 200	1559220232597	1559220233323	OK	 
REQUEST	64		Conector IMS HttpCode 422 Redirect 1	1559220233231	1559220233323	KO	status.find.is(422), but actually found 200
REQUEST	103		Conector XO HttpCode 200	1559220232600	1559220233324	OK	 
REQUEST	72		Conector IMS HttpCode 200	1559220232584	1559220233324	OK	 
